گروه,پوشه,symbol,معاملات,سودده,زیانده,وین‌ریت(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,بازده واقعی(%),بازده ویژه(%),نوع
aggregated,Best_15m_PAXGUSDT_SOLUSDT_XRPUSDT,PAXGUSDT_SOLUSDT_XRPUSDT,1796,1147,649,63.86,-20.00,10,-38.06,1.469,0.294,649.7992,649.7992,اصلی
aggregated,Best_15m_PAXGUSDT_SOLUSDT_XRPUSDT_INV,PAXGUSDT_SOLUSDT_XRPUSDT,1796,649,1147,36.14,-28.00,14,-1887.35,0.314,-0.827,-1886.7443,-1886.7443,معکوس
aggregated,Best_15m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,2895,1875,1020,64.77,-20.00,10,-40.24,1.348,0.316,926.6607,926.6607,اصلی
aggregated,Best_15m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,2895,1020,1875,35.23,-44.00,22,-3123.55,0.307,-0.861,-3122.9435,-3122.9435,معکوس
aggregated,Best_15m_BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,3273,2148,1125,65.63,-20.00,10,-40.24,1.347,0.336,1082.9429,1082.9429,اصلی
aggregated,Best_15m_BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,3273,1125,2148,34.37,-44.00,22,-3607.42,0.306,-0.886,-3607.4157,-3607.4157,معکوس
aggregated,Best_15m_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,3346,2249,1097,67.21,-12.00,6,-6.24,1.463,0.372,1384.5196,1384.5196,اصلی
aggregated,Best_15m_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,3346,1097,2249,32.79,-44.00,22,-3805.80,0.315,-0.917,-3805.7918,-3805.7918,معکوس
aggregated,Best_15m_BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,2843,1856,987,65.28,-20.00,10,-39.23,1.410,0.319,1012.1001,1012.1001,اصلی
aggregated,Best_15m_BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,2843,987,1856,34.72,-44.00,22,-3099.37,0.310,-0.870,-3099.3659,-3099.3659,معکوس
aggregated,Best_15m_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,2723,1764,959,64.78,-20.00,10,-40.24,1.437,0.318,985.6731,985.6731,اصلی
