گروه,پوشه,symbol,معاملات,سودده,زیانده,وین‌ریت(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,بازده واقعی(%),بازده ویژه(%),نوع
aggregated,Dtsv_SOLUSDT_XRPUSDT,SOLUSDT_XRPUSDT,9,7,2,77.78,-2.00,1,-0.60,1.187,0.436,3.7887,3.7887,اصلی
aggregated,Dtsv_SOLUSDT_XRPUSDT_INV,SOLUSDT_XRPUSDT,9,2,7,22.22,-10.00,5,-12.80,0.300,-1.240,-12.7996,-12.7996,معکوس
aggregated,Dtsv_BTCUSDT_ETHUSDT_SOLUSDT,BTCUSDT_ETHUSDT_SOLUSDT,23,9,14,39.13,-10.00,5,-5.31,0.573,-0.467,-5.3079,-5.3079,اصلی
aggregated,Dtsv_BTCUSDT_ETHUSDT_SOLUSDT_INV,BTCUSDT_ETHUSDT_SOLUSDT,23,14,9,60.87,-8.00,4,-12.40,0.300,-0.322,-9.5972,-9.5972,معکوس
aggregated,Dtsv_BTCUSDT_ETHUSDT_XRPUSDT,BTCUSDT_ETHUSDT_XRPUSDT,28,14,14,50.00,-10.00,5,-5.01,0.891,-0.044,-0.9192,-0.9192,اصلی
aggregated,Dtsv_BTCUSDT_ETHUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_XRPUSDT,28,14,14,50.00,-10.00,5,-20.80,0.300,-0.529,-19.5972,-19.5972,معکوس
aggregated,Dtsv_BTCUSDT_SOLUSDT_XRPUSDT,BTCUSDT_SOLUSDT_XRPUSDT,21,11,10,52.38,-6.00,3,-3.44,1.008,0.038,0.6522,0.6522,اصلی
aggregated,Dtsv_BTCUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_SOLUSDT_XRPUSDT,21,10,11,47.62,-10.00,5,-17.20,0.300,-0.572,-15.9980,-15.9980,معکوس
aggregated,Dtsv_ETHUSDT_SOLUSDT_XRPUSDT,ETHUSDT_SOLUSDT_XRPUSDT,18,11,7,61.11,-10.00,5,-3.30,0.927,0.133,1.9172,1.9172,اصلی
aggregated,Dtsv_ETHUSDT_SOLUSDT_XRPUSDT_INV,ETHUSDT_SOLUSDT_XRPUSDT,18,7,11,38.89,-10.00,5,-17.80,0.300,-0.758,-17.7986,-17.7986,معکوس
aggregated,Dtsv_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,30,15,15,50.00,-10.00,5,-5.31,0.865,-0.056,-1.2192,-1.2192,اصلی
aggregated,Dtsv_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,30,15,15,50.00,-10.00,5,-22.20,0.300,-0.529,-20.9970,-20.9970,معکوس
aggregated,Ttt3_BTCUSDT,BTCUSDT,7931,3705,4222,46.72,-26.00,13,-406.99,0.940,-0.082,-404.2004,-404.2004,اصلی
aggregated,Ttt3_BTCUSDT_INV,BTCUSDT,7931,4222,3705,53.23,-22.00,11,-5102.05,0.274,-0.506,-5100.3989,-5100.3989,معکوس
aggregated,Ttt3_ETHUSDT,ETHUSDT,7879,3747,4131,47.56,-30.00,15,-224.91,1.003,-0.040,-204.8235,-204.8235,اصلی
aggregated,Ttt3_ETHUSDT_INV,ETHUSDT,7879,4131,3747,52.43,-20.00,10,-5228.76,0.274,-0.521,-5228.2132,-5228.2132,معکوس
aggregated,Ttt3_SOLUSDT,SOLUSDT,4005,1830,2175,45.69,-24.00,12,-186.57,1.045,-0.054,-144.0041,-144.0041,اصلی
aggregated,Ttt3_SOLUSDT_INV,SOLUSDT,4005,2175,1830,54.31,-18.00,9,-2468.62,0.274,-0.485,-2466.8813,-2466.8813,معکوس
aggregated,Ttt3_XRPUSDT,XRPUSDT,6302,2893,3406,45.91,-30.00,15,-316.82,0.986,-0.075,-303.6607,-303.6607,اصلی
aggregated,Ttt3_XRPUSDT_INV,XRPUSDT,6302,3406,2893,54.05,-22.00,11,-3918.91,0.274,-0.489,-3917.5994,-3917.5994,معکوس
aggregated,Ttt3_BTCUSDT_ETHUSDT,BTCUSDT_ETHUSDT,15810,7452,8353,47.13,-30.00,15,-613.01,0.972,-0.061,-609.0239,-609.0239,اصلی
aggregated,Ttt3_BTCUSDT_ETHUSDT_INV,BTCUSDT_ETHUSDT,15810,8353,7452,52.83,-22.00,11,-10330.26,0.274,-0.514,-10328.6121,-10328.6121,معکوس
aggregated,Ttt3_BTCUSDT_SOLUSDT,BTCUSDT_SOLUSDT,11936,5535,6397,46.37,-26.00,13,-551.60,0.975,-0.072,-548.2045,-548.2045,اصلی
aggregated,Ttt3_BTCUSDT_SOLUSDT_INV,BTCUSDT_SOLUSDT,11936,6397,5535,53.59,-22.00,11,-7568.59,0.274,-0.499,-7567.2802,-7567.2802,معکوس
aggregated,Ttt3_BTCUSDT_XRPUSDT,BTCUSDT_XRPUSDT,14233,6598,7628,46.36,-30.00,15,-717.21,0.960,-0.079,-707.8610,-707.8610,اصلی
aggregated,Ttt3_BTCUSDT_XRPUSDT_INV,BTCUSDT_XRPUSDT,14233,7628,6598,53.59,-22.00,11,-9019.66,0.274,-0.499,-9017.9983,-9017.9983,معکوس
aggregated,Ttt3_ETHUSDT_SOLUSDT,ETHUSDT_SOLUSDT,11884,5577,6306,46.93,-30.00,15,-368.33,1.017,-0.045,-348.8276,-348.8276,اصلی
aggregated,Ttt3_ETHUSDT_SOLUSDT_INV,ETHUSDT_SOLUSDT,11884,6306,5577,53.06,-20.00,10,-7695.30,0.274,-0.509,-7695.0945,-7695.0945,معکوس
aggregated,Ttt3_ETHUSDT_XRPUSDT,ETHUSDT_XRPUSDT,14181,6640,7537,46.82,-30.00,15,-533.94,0.995,-0.055,-508.4842,-508.4842,اصلی
aggregated,Ttt3_ETHUSDT_XRPUSDT_INV,ETHUSDT_XRPUSDT,14181,7537,6640,53.15,-22.00,11,-9146.37,0.274,-0.507,-9145.8126,-9145.8126,معکوس
aggregated,Ttt3_SOLUSDT_XRPUSDT,SOLUSDT_XRPUSDT,10307,4723,5581,45.82,-30.00,15,-496.18,1.009,-0.067,-447.6648,-447.6648,اصلی
aggregated,Ttt3_SOLUSDT_XRPUSDT_INV,SOLUSDT_XRPUSDT,10307,5581,4723,54.15,-22.00,11,-6386.57,0.274,-0.488,-6384.4807,-6384.4807,معکوس
aggregated,Ttt3_BTCUSDT_ETHUSDT_SOLUSDT,BTCUSDT_ETHUSDT_SOLUSDT,19815,9282,10528,46.84,-30.00,15,-756.43,0.986,-0.059,-753.0280,-753.0280,اصلی
aggregated,Ttt3_BTCUSDT_ETHUSDT_SOLUSDT_INV,BTCUSDT_ETHUSDT_SOLUSDT,19815,10528,9282,53.13,-22.00,11,-12796.80,0.274,-0.508,-12795.4934,-12795.4934,معکوس
aggregated,Ttt3_BTCUSDT_ETHUSDT_XRPUSDT,BTCUSDT_ETHUSDT_XRPUSDT,22112,10345,11759,46.78,-30.00,15,-922.04,0.976,-0.065,-912.6845,-912.6845,اصلی
aggregated,Ttt3_BTCUSDT_ETHUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_XRPUSDT,22112,11759,10345,53.18,-22.00,11,-14247.87,0.274,-0.507,-14246.2115,-14246.2115,معکوس
aggregated,Ttt3_BTCUSDT_SOLUSDT_XRPUSDT,BTCUSDT_SOLUSDT_XRPUSDT,18238,8428,9803,46.21,-30.00,15,-861.22,0.979,-0.073,-851.8651,-851.8651,اصلی
aggregated,Ttt3_BTCUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_SOLUSDT_XRPUSDT,18238,9803,8428,53.75,-22.00,11,-11486.54,0.274,-0.496,-11484.8796,-11484.8796,معکوس
aggregated,Ttt3_ETHUSDT_SOLUSDT_XRPUSDT,ETHUSDT_SOLUSDT_XRPUSDT,18186,8470,9712,46.57,-30.00,15,-677.94,1.006,-0.055,-652.4883,-652.4883,اصلی
aggregated,Ttt3_ETHUSDT_SOLUSDT_XRPUSDT_INV,ETHUSDT_SOLUSDT_XRPUSDT,18186,9712,8470,53.40,-22.00,11,-11613.26,0.274,-0.502,-11612.6939,-11612.6939,معکوس
aggregated,Ttt3_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,26117,12175,13934,46.62,-30.00,15,-1066.04,0.986,-0.063,-1056.6886,-1056.6886,اصلی
aggregated,Ttt3_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,26117,13934,12175,53.35,-22.00,11,-16714.76,0.274,-0.503,-16713.0928,-16713.0928,معکوس
